Timeframe,Name,Price
1624567890,Genting Malaysia Berhad,3.213759091
1624567890,KLCC Property Holdings Berhad,7.744144618
1624567890,Malaysia Airports Holdings Berhad,7.101180381
1624567890,UOA Development Berhad,1.734241416
1624567890,Genting Berhad,5.922734867
1624567890,Petronas Holdings Berhad,11.18957899
1624567890,Scientex Berhad,11.47020664
1624567890,Proton Holdings Berhad,0.933813679
1624567891,Genting Malaysia Berhad,3.14721582
1624567891,Dutch Lady Milk Industries Berhad,42.55140015
1624567891,Lotus Group Holdings Berhad,0.687261952
1624567891,Bank Islam Malaysia Berhad,1.470365843
1624567892,Telekom Malaysia Berhad,3.49879468
1624567892,Sapura Energy Berhad,0.737850163
1624567892,Genting Malaysia Berhad,2.93375473
1624567892,Nestle (Malaysia) Berhad,143.6280621
1624567892,PLUS Malaysia Berhad,5.56786991
1624567892,Telekom Malaysia Berhad,2.849114036
1624567893,Genting Berhad,5.892312508
1624567893,Petronas Dagangan Berhad,17.24618564
1624567893,Digi.Com Berhad,3.548479673
1624567893,IGB Real Estate Investment Trust,1.693075531
1624567893,Genting Berhad,5.464196248
1624567893,Ambank Group Berhad,2.51564403
1624567893,Malaysia Smelting Corporation Berhad,3.055270662
1624567893,Scientex Berhad,13.84142805
1624567894,CIMB Group Holdings Berhad,4.174891332
1624567894,Malayan Banking Berhad,7.522558505
1624567894,Malayan Banking Berhad,7.361540984
1624567894,IOI Properties Group Berhad,1.06308506
1624567894,IOI Properties Group Berhad,1.127516824
1624567894,DiGi.Com Berhad,3.983407246
1624567895,Tenaga Nasional Berhad,10.58173502
1624567895,Kulim (Malaysia) Berhad,3.65248836
1624567895,Petronas Dagangan Berhad,17.27605821
1624567895,Kulim (Malaysia) Berhad,3.787719151
1624567895,Petronas Holdings Berhad,10.4471138
1624567896,MISC Berhad,6.898734295
1624567896,Petronas Holdings Berhad,11.400000
1624567896,UMW Holdings Berhad,5.182952157
1624567896,Malaysia Smelting Corporation Berhad,2.491026785
1624567896,Scientex Berhad,13.9518171
1624567896,Hartalega Holdings Berhad,9.440176147
1624567896,Malayan Banking Berhad,9.12814495
1624567896,Malaysia Building Society Berhad,1.186247375
1624567896,Sunway Berhad,1.54564322
1624567896,Axiata Group Berhad,3.581828774
1624567896,YTL Power International Berhad,1.382278972
1624567896,Sapura Energy Berhad,0.805345886
1624567896,Tenaga Nasional Berhad,10.63055263
1624567897,Genting Berhad,5.952393492
1624567897,FGV Holdings Berhad,1.186704702
1624567898,Malaysia Smelting Corporation Berhad,3.118544076
1624567898,Petronas Holdings Berhad,11.4000000
1624567898,Malaysia Building Society Berhad,1.146422561
1624567898,DiGi.Com Berhad,3.357057907
1624567898,Genting Berhad,5.773202452
1624567898,Genting Berhad,5.609404702
1624567899,Sime Darby Plantation Berhad,3.948068345
1624567899,Penang Port Commission,1.377276941
1624567899,UMW Holdings Berhad,5.800712931
1624567899,KLCC Property Holdings Berhad,7.652201977
1624567899,Scientex Berhad,14.21822786
1624567899,YTL Corporation Berhad,0.958940136
1624567900,UOA Development Berhad,1.943671756
1624567900,Sime Darby Berhad,2.158045939
1624567901,UMW Holdings Berhad,5.288814774
1624567901,Public Bank Berhad,5.23256656
1624567901,Bank Islam Malaysia Berhad,1.397422209
1624567901,Kulim (Malaysia) Berhad,3.898963909
1624567901,Berjaya Corporation Berhad,0.870258944
1624567901,Malaysia Smelting Corporation Berhad,2.979403189
1624567901,UMW Holdings Berhad,6.089705758
1624567902,Genting Berhad,6.504986362
1624567902,Sapura Energy Berhad,0.796165639
1624567902,Berjaya Corporation Berhad,0.918566369
1624567902,Public Bank Berhad,5.34284684
1624567902,Malaysia Smelting Corporation Berhad,2.530533163
